"","site_name","site","day","latest_temperature","lon","lat"
"150","Eastbourne","eb","2016-07-02",14.65,"0.271611","50.805778"
"151","Eastbourne","eb","2016-07-03",12.1,"0.271611","50.805778"
"152","Eastbourne","eb","2016-07-04",15.35,"0.271611","50.805778"
"153","Eastbourne","eb","2016-07-05",21.5,"0.271611","50.805778"
"154","Eastbourne","eb",NA,15.55,"0.271611","50.805778"
"155","Edinburgh St Leonards","ed3","2016-06-30",9.95,"-3.182186","55.945589"
"156","Edinburgh St Leonards","ed3","2016-07-01",7.8,"-3.182186","55.945589"
"157","Edinburgh St Leonards","ed3","2016-07-02",10.4,"-3.182186","55.945589"
"158","Edinburgh St Leonards","ed3","2016-07-03",11.4,"-3.182186","55.945589"
"159","Edinburgh St Leonards","ed3","2016-07-04",10.55,"-3.182186","55.945589"
"160","Edinburgh St Leonards","ed3","2016-07-05",17.5,"-3.182186","55.945589"
"161","Edinburgh St Leonards","ed3",NA,9.8,"-3.182186","55.945589"
"162","Glasgow High Street","ghsr","2016-06-30",8.2,"-4.238214","55.860936"
"163","Glasgow High Street","ghsr","2016-07-01",6.15,"-4.238214","55.860936"
"164","Glasgow High Street","ghsr","2016-07-02",8.55,"-4.238214","55.860936"
"165","Glasgow High Street","ghsr","2016-07-03",9.5,"-4.238214","55.860936"
"166","Glasgow High Street","ghsr","2016-07-04",8.45,"-4.238214","55.860936"
"167","Glasgow High Street","ghsr","2016-07-05",14.8,"-4.238214","55.860936"
"168","Glasgow High Street","ghsr",NA,8.35,"-4.238214","55.860936"
"169","Glasgow Townhead","glkp","2016-06-30",11.1,"-4.243631","55.865782"
"170","Glasgow Townhead","glkp","2016-07-01",9.45,"-4.243631","55.865782"
"171","Glasgow Townhead","glkp","2016-07-02",11.6,"-4.243631","55.865782"
"172","Glasgow Townhead","glkp","2016-07-03",12.7,"-4.243631","55.865782"
"173","Glasgow Townhead","glkp","2016-07-04",12.2,"-4.243631","55.865782"
"174","Glasgow Townhead","glkp","2016-07-05",19.4,"-4.243631","55.865782"
"175","Glasgow Townhead","glkp",NA,11.4,"-4.243631","55.865782"
"176","Grangemouth","gran","2016-06-30",10.2,"-3.704399","56.010319"
"177","Grangemouth","gran","2016-07-01",7.45,"-3.704399","56.010319"
"178","Grangemouth","gran","2016-07-02",11.1,"-3.704399","56.010319"
"179","Grangemouth","gran","2016-07-03",11.65,"-3.704399","56.010319"
"180","Grangemouth","gran","2016-07-04",10.7,"-3.704399","56.010319"
"181","Grangemouth","gran","2016-07-05",19.4,"-3.704399","56.010319"
"182","Grangemouth","gran",NA,10.3,"-3.704399","56.010319"
"183","Hull Freetown","hul2","2016-06-30",15.9,"-0.341222","53.74878"
"184","Hull Freetown","hul2","2016-07-01",13.3,"-0.341222","53.74878"
"185","Hull Freetown","hul2","2016-07-02",14.4,"-0.341222","53.74878"
"186","Hull Freetown","hul2","2016-07-03",15,"-0.341222","53.74878"
"187","Hull Freetown","hul2","2016-07-04",19,"-0.341222","53.74878"
"188","Hull Freetown","hul2","2016-07-05",19.2,"-0.341222","53.74878"
"189","Hull Freetown","hul2",NA,16.3,"-0.341222","53.74878"
"190","Hull Holderness Road","hulr","2016-06-30",15.2,"-0.305749","53.758971"
"191","Hull Holderness Road","hulr","2016-07-01",13,"-0.305749","53.758971"
"192","Hull Holderness Road","hulr","2016-07-02",14.4,"-0.305749","53.758971"
"193","Hull Holderness Road","hulr","2016-07-03",14.1,"-0.305749","53.758971"
"194","Hull Holderness Road","hulr","2016-07-04",18.1,"-0.305749","53.758971"
"195","Hull Holderness Road","hulr","2016-07-05",20.7,"-0.305749","53.758971"
"196","Hull Holderness Road","hulr",NA,15.7,"-0.305749","53.758971"
"197","Leamington Spa","leam","2016-06-30",13.15,"-1.533119","52.28881"
"198","Leamington Spa","leam","2016-07-01",7.75,"-1.533119","52.28881"
"199","Leamington Spa","leam","2016-07-02",9.9,"-1.533119","52.28881"
"200","Leamington Spa","leam","2016-07-03",13.45,"-1.533119","52.28881"
"201","Leamington Spa","leam","2016-07-04",14.75,"-1.533119","52.28881"
"202","Leamington Spa","leam","2016-07-05",21.35,"-1.533119","52.28881"
"203","Leamington Spa","leam",NA,13.1,"-1.533119","52.28881"
"204","Leamington Spa Rugby Road","lear","2016-06-30",15.25,"-1.542911","52.294884"
"205","Leamington Spa Rugby Road","lear","2016-07-01",11.15,"-1.542911","52.294884"
"206","Leamington Spa Rugby Road","lear","2016-07-02",12.9,"-1.542911","52.294884"
"207","Leamington Spa Rugby Road","lear","2016-07-03",15.1,"-1.542911","52.294884"
"208","Leamington Spa Rugby Road","lear","2016-07-04",16.9,"-1.542911","52.294884"
"209","Leamington Spa Rugby Road","lear","2016-07-05",19.25,"-1.542911","52.294884"
"210","Leamington Spa Rugby Road","lear",NA,15.2,"-1.542911","52.294884"
"211","Leeds Centre","leed","2016-06-30",13.1,"-1.546472","53.80378"
"212","Leeds Centre","leed","2016-07-01",10.1,"-1.546472","53.80378"
"213","Leeds Centre","leed","2016-07-02",12,"-1.546472","53.80378"
"214","Leeds Centre","leed","2016-07-03",12.55,"-1.546472","53.80378"
"215","Leeds Centre","leed","2016-07-04",16.1,"-1.546472","53.80378"
"216","Leeds Centre","leed","2016-07-05",20.95,"-1.546472","53.80378"
